
m p n_1
24 503 3913
24 509 7633
24 521 5017
24 523 1465
24 541 23065
24 547 16705
24 557 11281
24 563 12577
24 569 9937
24 571 33313
24 577 6913
24 587 18985
24 593 22225
24 599 5593
24 601 26857

m p n_1
25 29 1076
25 31 376
25 37 1426
25 41 651
25 43 451
25 47 476
25 53 751
25 59 10001
25 61 551
25 67 1926
25 71 601
25 73 876
25 79 1726
25 83 926
25 89 9251
25 97 11626
25 101 2376
25 103 4026
25 107 2176
25 109 1551
25 113 5101
25 127 6776
25 131 11351
25 137 2601
25 139 10976
25 149 1201
25 151 8851
25 157 5801
25 163 1251
25 167 1501
25 173 4051
25 179 1301
25 181 4626
25 191 1776
25 193 3976
25 197 2976
25 199 4101
25 211 3126
25 223 16051
25 227 2226
25 229 6126
25 233 2726
25 239 7401
25 241 1476
25 251 2451
25 257 5076
25 263 2851
25 269 20101
25 271 10901
25 277 18801
25 281 11351
25 283 6551
25 293 5301
25 307 4476
25 311 3901
25 313 3251
25 317 2526
25 331 6576
25 337 9226
25 347 10301
25 349 14676
25 353 13926
25 359 19051
25 367 2051
25 373 11751
25 379 2701
25 383 10376
25 389 4851
25 397 29626
25 401 24501
25 409 4701
25 419 17251
25 421 3826
25 431 5776
25 433 13426
25 439 12276
25 443 3451
25 449 13776
25 457 6901
25 461 14201
25 463 1451
25 467 2251
25 479 12576
25 487 20401
25 491 8201
25 499 4601
25 503 4076
25 509 7951
25 521 5226
25 523 1526
25 541 24026
25 547 17401
25 557 11751
25 563 13101
25 569 10351
25 571 34701
25 577 7201
25 587 19776
25 593 23151
25 599 5826
25 601 27976
25 607 8501
25 613 22301
25 617 2501
25 619 4776
25 631 65126
25 641 23226
25 643 6376
25 647 3651

m p n_1
26 29 1119
26 31 391
26 37 1483
26 41 677
26 43 469
26 47 495
26 53 781
26 59 10401
26 61 573
26 67 2003
26 71 625
26 73 911
26 79 1795
26 83 963
26 89 9621
26 97 12091
26 101 2471
26 103 4187
26 107 2263
26 109 1613
26 113 5305
26 127 7047
26 131 11805
26 137 2705
26 139 11415
26 149 1249
26 151 9205
26 157 6033
26 163 1301
26 167 1561
26 173 4213
26 179 1353
26 181 4811
26 191 1847
26 193 4135
26 197 3095
26 199 4265
26 211 3251
26 223 16693
26 227 2315
26 229 6371
26 233 2835
26 239 7697
26 241 1535
26 251 2549
26 257 5279
26 263 2965
26 269 20905
26 271 11337
26 277 19553
26 281 11805
26 283 6813
26 293 5513
26 307 4655
26 311 4057
26 313 3381
26 317 2627
26 331 6839
26 337 9595
26 347 10713
26 349 15263
26 353 14483
26 359 19813
26 367 2133
26 373 12221
26 379 2809
26 383 10791
26 389 5045
26 397 30811
26 401 25481
26 409 4889
26 419 17941
26 421 3979
26 431 6007
26 433 13963
26 439 12767
26 443 3589
26 449 14327
26 457 7177
26 461 14769
26 463 1509
26 467 2341
26 479 13079
26 487 21217
26 491 8529
26 499 4785
26 503 4239
26 509 8269
26 521 5435
26 523 1587
26 541 24987
26 547 18097
26 557 12221
26 563 13625
26 569 10765
26 571 36089
26 577 7489
26 587 20567
26 593 24077
26 599 6059
26 601 29095
26 607 8841
26 613 23193
26 617 2601
26 619 4967
26 631 67731
26 641 24155
26 643 6631
26 647 3797
26 653 51299
26 659 30603
26 661 1743
26 673 12455
26 677 41263
26 683 22543
26 691 10089
26 701 5695

m p n_1
27 29 1162
27 31 406
27 37 1540
27 41 703
27 43 487
27 47 514
27 53 811
27 59 10801
27 61 595
27 67 2080
27 71 649
27 73 946
27 79 1864
27 83 1000
27 89 9991
27 97 12556
27 101 2566
27 103 4348
27 107 2350
27 109 1675
27 113 5509
27 127 7318
27 131 12259
27 137 2809
27 139 11854
27 149 1297
27 151 9559
27 157 6265
27 163 1351
27 167 1621
27 173 4375
27 179 1405
27 181 4996
27 191 1918
27 193 4294
27 197 3214
27 199 4429
27 211 3376
27 223 17335
27 227 2404
27 229 6616
27 233 2944
27 239 7993
27 241 1594
27 251 2647
27 257 5482
27 263 3079
27 269 21709
27 271 11773
27 277 20305
27 281 12259
27 283 7075
27 293 5725
27 307 4834
27 311 4213
27 313 3511
27 317 2728
27 331 7102
27 337 9964
27 347 11125
27 349 15850
27 353 15040
27 359 20575
27 367 2215
27 373 12691
27 379 2917
27 383 11206
27 389 5239
27 397 31996
27 401 26461
27 409 5077
27 419 18631
27 421 4132
27 431 6238
27 433 14500
27 439 13258
27 443 3727
27 449 14878
27 457 7453
27 461 15337
27 463 1567
27 467 2431
27 479 13582
27 487 22033
27 491 8857
27 499 4969
27 503 4402
27 509 8587
27 521 5644
27 523 1648
27 541 25948
27 547 18793
27 557 12691
27 563 14149
27 569 11179
27 571 37477
27 577 7777
27 587 21358
27 593 25003
27 599 6292
27 601 30214
27 607 9181
27 613 24085
27 617 2701
27 619 5158
27 631 70336
27 641 25084
27 643 6886
27 647 3943
27 653 53272
27 659 31780
27 661 1810
27 673 12934
27 677 42850
27 683 23410
27 691 10477
27 701 5914
27 709 3673
27 719 5617
27 727 9397
27 733 8020
27 739 68689
27 743 18199
27 751 43147
27 757 11881

m p n_1
28 31 421
28 37 1597
28 41 729
28 43 505
28 47 533
